airline,from,to,day,month,year,age,gender,reason,stay,transit,connection,wait
Aeromexico,GDL,JFK,16,12,2015,52,unspecified,Back Home,Home,Car rental,False,0
Delta Airlines,GDL,PDX,19,12,2021,56,female,Back Home,Home,Public Transportation,False,0
Delta Airlines,PDX,GDL,28,12,2021,88,male,On vacation/Pleasure,Home,,True,220
American Airlines,PDX,LAX,16,10,2013,64,female,Back Home,Home,Public Transportation,False,0
American Airlines,SJC,GDL,27,4,2017,54,male,On vacation/Pleasure,Hotel,Pickup,False,0
Volaris,GDL,JFK,27,5,2021,58,male,Business/Work,Friend/Family,,True,85
American Airlines,GDL,LAX,22,1,2019,41,unspecified,Business/Work,Hotel,,True,111
American Airlines,LAX,JFK,15,10,2022,12,male,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
Aeromexico,LAX,PDX,21,2,2016,52,male,Business/Work,Friend/Family,Public Transportation,False,0
Aeromexico,SJC,JFK,16,3,2016,26,male,Business/Work,Hotel,,True,475
Delta Airlines,PDX,LAX,15,10,2017,57,female,Back Home,Home,Pickup,False,0
American Airlines,SJC,PDX,24,9,2022,49,unspecified,Business/Work,Short-term homestay,Own car,False,0
Delta Airlines,PDX,GDL,6,5,2019,89,undisclosed,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
American Airlines,SJC,PDX,28,4,2019,2,male,Business/Work,Home,Airport cab,False,0
American Airlines,JFK,LAX,11,7,2019,6,unspecified,Business/Work,Short-term homestay,Public Transportation,False,0
Alaska,PDX,JFK,19,1,2021,35,male,On vacation/Pleasure,Short-term homestay,Own car,False,0
Alaska,GDL,PDX,18,11,2017,89,female,Back Home,Home,Public Transportation,False,0
Aeromexico,GDL,LAX,7,10,2015,60,female,Business/Work,Short-term homestay,Mobility as a service,False,0
Alaska,JFK,GDL,29,4,2015,89,female,Business/Work,Friend/Family,,True,634
Aeromexico,LAX,PDX,7,8,2021,41,male,On vacation/Pleasure,Friend/Family,,True,302
Delta Airlines,JFK,SJC,29,9,2013,4,male,Back Home,Home,Own car,False,0
Volaris,PDX,JFK,27,12,2022,13,male,Back Home,Home,Public Transportation,False,0
Delta Airlines,GDL,SJC,27,12,2013,50,female,On vacation/Pleasure,Home,,True,421
Volaris,LAX,SJC,15,6,2014,55,male,Business/Work,Short-term homestay,,True,135
Volaris,GDL,JFK,14,6,2019,82,male,Business/Work,Hotel,Pickup,False,0
American Airlines,JFK,LAX,6,5,2018,18,unspecified,Back Home,Home,Car rental,False,0
American Airlines,GDL,JFK,10,1,2013,89,female,On vacation/Pleasure,Home,Car rental,False,0
Aeromexico,LAX,SJC,24,2,2015,77,female,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Alaska,LAX,GDL,25,4,2018,60,undisclosed,On vacation/Pleasure,Home,Car rental,False,0
American Airlines,JFK,GDL,26,1,2023,36,female,Business/Work,Friend/Family,Mobility as a service,False,0
Aeromexico,GDL,SJC,9,6,2021,45,undisclosed,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Delta Airlines,LAX,PDX,8,11,2017,52,unspecified,On vacation/Pleasure,Hotel,,True,586
Alaska,JFK,GDL,26,11,2013,23,undisclosed,On vacation/Pleasure,Home,Public Transportation,False,0
Aeromexico,SJC,JFK,16,3,2019,55,male,Business/Work,Short-term homestay,Car rental,False,0
Delta Airlines,GDL,SJC,22,1,2016,81,undisclosed,Back Home,Home,Airport cab,False,0
American Airlines,LAX,SJC,28,4,2022,24,undisclosed,On vacation/Pleasure,Short-term homestay,,True,98
Alaska,LAX,GDL,14,9,2022,80,unspecified,On vacation/Pleasure,Home,Airport cab,False,0
Aeromexico,SJC,PDX,13,5,2013,55,undisclosed,On vacation/Pleasure,Hotel,Own car,False,0
Alaska,JFK,LAX,17,4,2015,62,female,Back Home,Home,Pickup,False,0
Volaris,GDL,SJC,18,5,2020,87,undisclosed,Business/Work,Home,,True,538
Volaris,SJC,GDL,10,4,2013,77,undisclosed,On vacation/Pleasure,Friend/Family,,True,106
Aeromexico,GDL,SJC,12,9,2016,27,undisclosed,Back Home,Home,Car rental,False,0
American Airlines,GDL,LAX,31,10,2022,81,male,Business/Work,Hotel,Mobility as a service,False,0
Delta Airlines,SJC,PDX,6,10,2019,67,undisclosed,Business/Work,Friend/Family,Car rental,False,0
Aeromexico,SJC,JFK,14,12,2019,8,undisclosed,Business/Work,Hotel,,True,141
Alaska,LAX,SJC,21,3,2017,23,undisclosed,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Alaska,GDL,LAX,23,6,2022,63,unspecified,Back Home,Home,Public Transportation,False,0
American Airlines,LAX,PDX,9,7,2019,59,male,Back Home,Home,Public Transportation,False,0
Aeromexico,LAX,PDX,15,12,2013,19,unspecified,Back Home,Home,Own car,False,0
Aeromexico,JFK,LAX,24,7,2017,46,unspecified,Back Home,Home,Pickup,False,0
Delta Airlines,PDX,LAX,25,12,2018,90,male,Back Home,Home,Airport cab,False,0
Aeromexico,PDX,GDL,22,12,2022,88,male,Back Home,Home,Pickup,False,0
Alaska,SJC,LAX,13,6,2019,28,unspecified,On vacation/Pleasure,Short-term homestay,,True,87
Aeromexico,GDL,JFK,21,5,2022,73,male,Back Home,Home,Car rental,False,0
Aeromexico,JFK,SJC,20,12,2019,1,male,On vacation/Pleasure,Home,Airport cab,False,0
American Airlines,GDL,JFK,16,3,2016,49,unspecified,On vacation/Pleasure,Home,Public Transportation,False,0
Aeromexico,JFK,SJC,27,12,2021,20,undisclosed,On vacation/Pleasure,Short-term homestay,Pickup,False,0
American Airlines,GDL,SJC,25,2,2023,71,undisclosed,Back Home,Home,Car rental,False,0
Delta Airlines,JFK,SJC,9,5,2020,30,male,Business/Work,Hotel,Airport cab,False,0
Alaska,GDL,SJC,15,12,2022,41,unspecified,On vacation/Pleasure,Home,Car rental,False,0
Delta Airlines,GDL,SJC,20,5,2013,89,female,Back Home,Home,Airport cab,False,0
Delta Airlines,GDL,PDX,12,3,2017,63,undisclosed,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
American Airlines,SJC,GDL,9,2,2022,71,undisclosed,On vacation/Pleasure,Home,,True,569
Volaris,LAX,JFK,16,4,2018,58,undisclosed,Back Home,Home,Public Transportation,False,0
Aeromexico,PDX,LAX,13,9,2015,41,unspecified,Back Home,Home,Own car,False,0
Delta Airlines,PDX,GDL,17,2,2017,83,undisclosed,Back Home,Home,Airport cab,False,0
Aeromexico,PDX,GDL,17,9,2013,71,undisclosed,Back Home,Home,Pickup,False,0
Delta Airlines,PDX,GDL,5,6,2020,86,female,Back Home,Home,Pickup,False,0
Delta Airlines,PDX,JFK,1,11,2018,29,female,Business/Work,Short-term homestay,Mobility as a service,False,0
Delta Airlines,LAX,GDL,23,12,2016,89,undisclosed,Business/Work,Friend/Family,,True,373
Volaris,SJC,GDL,26,3,2019,53,unspecified,Back Home,Home,Airport cab,False,0
American Airlines,PDX,SJC,31,10,2019,84,unspecified,Business/Work,Short-term homestay,Own car,False,0
Delta Airlines,GDL,LAX,11,8,2021,43,unspecified,Business/Work,Hotel,,True,622
American Airlines,GDL,SJC,16,8,2020,35,female,Business/Work,Home,Public Transportation,False,0
Aeromexico,GDL,LAX,30,11,2014,8,undisclosed,Business/Work,Home,Mobility as a service,False,0
American Airlines,GDL,LAX,24,5,2019,71,male,On vacation/Pleasure,Friend/Family,Pickup,False,0
Aeromexico,JFK,SJC,12,8,2014,39,female,On vacation/Pleasure,Short-term homestay,,True,535
American Airlines,JFK,SJC,3,11,2013,82,male,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Aeromexico,PDX,JFK,31,10,2022,1,undisclosed,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Volaris,SJC,LAX,8,11,2014,11,female,Business/Work,Short-term homestay,,True,574
American Airlines,SJC,PDX,5,11,2020,31,male,On vacation/Pleasure,Friend/Family,,True,482
Aeromexico,LAX,GDL,13,6,2015,30,male,On vacation/Pleasure,Friend/Family,Own car,False,0
Volaris,GDL,SJC,26,2,2021,88,male,On vacation/Pleasure,Hotel,,True,414
American Airlines,PDX,LAX,5,4,2019,90,undisclosed,Business/Work,Hotel,,True,655
Aeromexico,JFK,GDL,8,3,2018,71,male,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
Delta Airlines,GDL,SJC,30,8,2016,3,female,Back Home,Home,Public Transportation,False,0
Volaris,GDL,LAX,8,5,2016,41,undisclosed,Back Home,Home,Airport cab,False,0
Aeromexico,GDL,LAX,9,5,2020,89,male,Business/Work,Short-term homestay,Car rental,False,0
Volaris,SJC,JFK,5,3,2014,52,male,On vacation/Pleasure,Home,,True,631
Aeromexico,SJC,LAX,10,11,2020,65,undisclosed,Back Home,Home,Car rental,False,0
Aeromexico,LAX,GDL,30,1,2014,76,undisclosed,Back Home,Home,Car rental,False,0
Volaris,PDX,JFK,2,3,2015,72,unspecified,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Volaris,PDX,JFK,19,7,2015,14,undisclosed,On vacation/Pleasure,Home,,True,36
Alaska,PDX,LAX,24,6,2017,84,male,Business/Work,Home,Pickup,False,0
Volaris,LAX,PDX,3,1,2021,8,unspecified,On vacation/Pleasure,Friend/Family,Own car,False,0
Delta Airlines,GDL,JFK,4,10,2018,60,female,On vacation/Pleasure,Friend/Family,,True,238
American Airlines,LAX,PDX,1,2,2016,36,unspecified,On vacation/Pleasure,Home,Pickup,False,0
Delta Airlines,SJC,PDX,14,1,2015,18,female,Business/Work,Short-term homestay,Airport cab,False,0
Aeromexico,SJC,PDX,15,4,2019,58,male,Business/Work,Home,Own car,False,0
American Airlines,JFK,GDL,13,6,2014,71,male,On vacation/Pleasure,Hotel,Own car,False,0
Aeromexico,PDX,JFK,11,4,2017,53,male,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Aeromexico,LAX,PDX,4,3,2015,52,unspecified,Business/Work,Home,,True,603
Volaris,PDX,GDL,22,7,2016,9,undisclosed,On vacation/Pleasure,Hotel,Pickup,False,0
Volaris,LAX,PDX,3,2,2019,12,undisclosed,Business/Work,Hotel,,True,187
Aeromexico,LAX,JFK,28,2,2014,40,female,Business/Work,Short-term homestay,Mobility as a service,False,0
Aeromexico,JFK,SJC,11,2,2016,19,male,Business/Work,Friend/Family,,True,494
American Airlines,GDL,PDX,4,2,2023,83,undisclosed,Back Home,Home,Pickup,False,0
Delta Airlines,LAX,JFK,11,9,2021,64,undisclosed,On vacation/Pleasure,Home,,True,469
Delta Airlines,JFK,SJC,28,2,2018,56,male,Back Home,Home,Car rental,False,0
American Airlines,SJC,PDX,17,3,2017,12,undisclosed,Back Home,Home,Mobility as a service,False,0
American Airlines,LAX,JFK,2,12,2019,36,male,On vacation/Pleasure,Short-term homestay,Own car,False,0
American Airlines,PDX,GDL,4,2,2013,47,unspecified,On vacation/Pleasure,Short-term homestay,,True,712
Aeromexico,GDL,LAX,2,10,2022,22,male,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Delta Airlines,LAX,JFK,3,8,2015,69,female,On vacation/Pleasure,Hotel,,True,661
American Airlines,LAX,JFK,17,7,2020,27,female,Business/Work,Short-term homestay,Pickup,False,0
Delta Airlines,JFK,PDX,3,4,2017,27,undisclosed,On vacation/Pleasure,Home,,True,158
American Airlines,PDX,JFK,1,8,2018,71,female,Business/Work,Short-term homestay,Pickup,False,0
Delta Airlines,PDX,GDL,7,9,2013,83,male,On vacation/Pleasure,Home,Car rental,False,0
American Airlines,PDX,LAX,9,8,2018,58,undisclosed,On vacation/Pleasure,Friend/Family,,True,537
Alaska,GDL,PDX,5,10,2019,72,female,On vacation/Pleasure,Friend/Family,,True,598
Delta Airlines,GDL,SJC,21,1,2014,8,unspecified,Business/Work,Home,Own car,False,0
Alaska,PDX,JFK,25,3,2016,70,unspecified,On vacation/Pleasure,Short-term homestay,,True,213
Aeromexico,GDL,JFK,17,8,2018,90,undisclosed,Back Home,Home,Mobility as a service,False,0
Delta Airlines,JFK,PDX,19,1,2020,9,unspecified,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Volaris,JFK,GDL,24,9,2014,19,unspecified,Back Home,Home,Public Transportation,False,0
Delta Airlines,LAX,PDX,14,10,2013,64,male,Business/Work,Short-term homestay,Pickup,False,0
Delta Airlines,LAX,PDX,6,6,2020,43,female,Business/Work,Home,Airport cab,False,0
Aeromexico,PDX,LAX,11,9,2015,77,female,Back Home,Home,Car rental,False,0
American Airlines,PDX,GDL,1,11,2018,35,female,On vacation/Pleasure,Home,,True,227
Delta Airlines,LAX,SJC,18,10,2021,6,female,Back Home,Home,Pickup,False,0
American Airlines,LAX,SJC,8,6,2020,2,female,Business/Work,Hotel,Pickup,False,0
Alaska,GDL,SJC,1,1,2020,50,female,Back Home,Home,Own car,False,0
Volaris,SJC,PDX,14,3,2023,33,male,Business/Work,Short-term homestay,,True,275
Aeromexico,GDL,PDX,21,9,2020,31,female,Back Home,Home,Car rental,False,0
Delta Airlines,JFK,GDL,30,11,2014,77,female,On vacation/Pleasure,Friend/Family,,True,296
Aeromexico,PDX,JFK,29,10,2019,70,female,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Volaris,PDX,JFK,2,6,2021,84,unspecified,Business/Work,Friend/Family,Mobility as a service,False,0
